date,link,tag,text
2015-03-23T00:01:00Z,48971,"внешняя политика,Сингапур",Соболезнования Президенту Сингапура Тони Тан Кенг Яму
2015-03-23T00:02:00Z,48972,госслужба,Татьяна Воронова назначена начальником Управления Президента по внутренней политике
2015-03-23T00:03:00Z,48973,госслужба,Любовь Глебова назначена руководителем Россотрудничества
2015-03-23T00:04:00Z,48974,госслужба,Сергей Болховитин освобождён от должности начальника Главного управления международного сотрудничества Управления делами Президента
2015-03-23T00:05:00Z,48975,экономика и финансы,Встреча с руководителем Федеральной службы по финансовому мониторингу Юрием Чиханчиным
2015-03-23T00:06:00Z,48977,"",Владимир Путин встретится с президентом организации WorldSkills International (WSI) Саймоном Бартли
2015-03-23T00:07:00Z,48978,"промышленность,регионы,социальная сфера",Встреча с Владимиром Потаниным
2015-03-24T00:01:00Z,48984,культура,Подписаны указы о присуждении премий Президента деятелям культуры и за произведения для детей за 2014 год
2015-03-24T00:02:00Z,48985,правопорядок,Расширенное заседание коллегии Генпрокуратуры
2015-03-24T00:03:00Z,48986,"внешняя политика,Германия",Соболезнования Федеральному канцлеру Германии Ангеле Меркель
2015-03-24T00:04:00Z,48987,"внешняя политика,Испания",Соболезнования Королю Испании Филиппу VI
2015-03-24T00:05:00Z,48988,Вооружённые Силы,Встреча с Министром обороны Сергеем Шойгу и начальником Генштаба Валерием Герасимовым
2015-03-24T00:06:00Z,48989,Республика Татарстан,Рабочая встреча с Рустамом Миннихановым
2015-03-24T00:07:00Z,48990,"профессиональное образование,регионы",Встреча с президентом организации WorldSkills International Саймоном Бартли
2015-03-25T00:01:00Z,48993,"регионы,Сахалинская область",Подписан Указ о досрочном прекращении полномочий губернатора Сахалинской области
2015-03-25T00:02:00Z,48995,"регионы,Амурская область,Сахалинская область",Встреча с Олегом Кожемяко и Александром Козловым
2015-03-25T00:03:00Z,48994,"регионы,Сахалинская область",Олег Кожемяко назначен временно исполняющим обязанности губернатора Сахалинской области
2015-03-25T00:04:00Z,48996,"",Александр Козлов назначен временно исполняющим обязанности губернатора Амурской области
2015-03-25T00:05:00Z,48998,культура,Вручение премий молодым деятелям культуры и премий за произведения для детей
2015-03-25T00:06:00Z,49004,наука и инновации,Встреча с молодыми учёными
2015-03-25T00:07:00Z,49005,"социальная сфера,экономика и финансы",Совещание с членами Правительства
2015-03-26T00:01:00Z,49006,"борьба с терроризмом,внешняя политика,государственные финансы,информационное общество,национальная безопасность,противодействие коррупции",Заседание коллегии ФСБ
2015-03-26T00:02:00Z,49011,"промышленность,регионы,социальная сфера,экономика и финансы,Республика Ингушетия",Рабочая встреча с главой Ингушетии Юнус-Беком Евкуровым
2015-03-26T00:03:00Z,49010,"внешняя политика,Иран",Телефонный разговор с Президентом Ирана Хасаном Рухани
2015-03-26T00:04:00Z,49012,"регионы,Курская область",Рабочая встреча с губернатором Курской области Александром Михайловым
2015-03-27T00:01:00Z,49016,внешняя политика,Телефонный разговор с Премьер-министром Израиля Биньямином Нетаньяху
2015-03-27T00:02:00Z,49017,экология,28 марта в рамках акции «Час Земли» на час будет выключено внешнее освещение Московского Кремля
2015-03-27T00:03:00Z,49019,"информационное общество,поддержка предпринимательства",Встреча с интернет-предпринимателями
2015-03-27T00:04:00Z,49018,"",Совещание с постоянными членами Совета Безопасности
2015-03-28T00:01:00Z,49021,спорт,Приветствие участникам и гостям XVIII Сурдлимпийских зимних игр
2015-03-30T00:01:00Z,49028,"",Рабочая встреча с Министром сельского хозяйства Николаем Фёдоровым
2015-03-30T00:02:00Z,49039,"внешняя политика,Узбекистан",Поздравление Исламу Каримову с победой на выборах Президента Узбекистана
2015-03-30T00:03:00Z,49031,промышленность,Рабочая встреча с Заместителем Председателя Правительства Александром Хлопониным
2015-03-30T00:04:00Z,49038,"внешняя политика,Узбекистан",Телефонный разговор с Президентом Узбекистана Исламом Каримовым
2015-03-30T00:05:00Z,49040,"импортозамещение,инвестиции,экономика и финансы",Встреча с главой Российского фонда прямых инвестиций Кириллом Дмитриевым
2015-03-31T00:01:00Z,49045,"внешняя политика,межнациональные отношения",Рабочая встреча с Председателем Правительства Дмитрием Медведевым
2015-03-31T00:02:00Z,49043,"",Подписан Указ о Федеральном агентстве по делам национальностей
2015-03-31T00:03:00Z,49046,"внешняя политика,социальная сфера",Совещание с постоянными членами Совета Безопасности
2015-03-31T00:04:00Z,49050,транспорт,Встреча с генеральным директором компании «Аэрофлот» Виталием Савельевым
2015-04-01T00:01:00Z,49047,СМИ,Поздравление коллективу «Первого канала» с 20-летием с начала вещания
2015-04-01T00:02:00Z,49051,"",Обращение в связи с началом председательства России в БРИКС
2015-04-01T00:03:00Z,49052,"внешняя политика,экономика и финансы",Совещание с членами Правительства
2015-04-02T00:01:00Z,49056,"внешняя политика,Республика Беларусь",Поздравление Александру Лукашенко по случаю Дня единения народов России и Беларуси
2015-04-02T00:02:00Z,49057,"",Президент получает оперативные доклады о ходе спасательной операции в Охотском море
2015-04-02T00:03:00Z,49059,"социальная сфера,экономика и финансы",Совещание о ситуации на рынке труда
2015-04-03T00:01:00Z,49080,религия,Поздравление с праздником Песах
2015-04-03T00:02:00Z,49084,"земельные отношения,регионы,экономика и финансы",Совещание по вопросам развития Дальнего Востока
2015-04-03T00:03:00Z,49085,"внешняя политика,Южная Осетия",Телефонный разговор с Президентом Южной Осетии Леонидом Тибиловым
2015-04-06T00:01:00Z,49204,"Великая Отечественная война,Новгородская область",Открытие всероссийской акции «Вахта памяти»
2015-04-06T00:02:00Z,49206,"регионы,Новгородская область",Рабочая встреча с губернатором Новгородской области Сергеем Митиным
2015-04-06T00:03:00Z,49205,"Великая Отечественная война,регионы,Республика Крым,Республика Карелия,Чеченская Республика,Ленинградская область","Указы о присвоении звания «Город воинской славы» Старой Руссе, Гатчине, Петрозаводску, Грозному и Феодосии"
2015-04-06T00:04:00Z,49207,"Великая Отечественная война,Новгородская область",Встреча с ветеранами Великой Отечественной войны и участниками Поискового движения России
2015-04-07T00:01:00Z,49210,"",Подписан Указ о назначении руководителя Службы контрразведки ФСБ
2015-04-07T00:02:00Z,49211,"",Подписан Указ о назначении начальника Главного управления специальных программ Президента
2015-04-07T00:03:00Z,49214,"поддержка предпринимательства,регионы",Заседание Государственного совета по вопросам развития малого и среднего бизнеса
2015-04-07T00:04:00Z,49215,"внешняя политика,Китай",Встреча с главой МИД Китая Ван И
2015-04-07T00:05:00Z,49216,"Великая Отечественная война,государственные финансы",Рабочая встреча с Заместителем Председателя Государственной Думы Сергеем Неверовым
2015-04-08T00:01:00Z,49219,"внешняя политика,Аргентина",Владимир Путин встретится с Президентом Аргентины Кристиной Фернандес де Киршнер
2015-04-08T00:02:00Z,49217,"внешняя политика,Греция",Встреча с Премьер-министром Греции Алексисом Ципрасом
2015-04-08T00:03:00Z,49220,"внешняя политика,Греция",Пресс-конференция по итогам переговоров с Премьер-министром Греции Алексисом Ципрасом
2015-04-08T00:04:00Z,49221,"внешняя политика,энергетика,Украина",Встреча с председателем правления компании «Газпром» Алексеем Миллером
2015-04-09T00:01:00Z,49223,"",16 апреля в 12:00 состоится «Прямая линия с Владимиром Путиным»
2015-04-09T00:02:00Z,49226,"борьба с терроризмом,Вооружённые Силы,госслужба,национальная безопасность,правоохранительные органы","Встреча с офицерами и прокурорами, назначенными на вышестоящие должности"
2015-04-09T00:03:00Z,49228,права человека,Президент внёс на рассмотрение в Госдуму проект постановления об объявлении амнистии
2015-04-09T00:04:00Z,49229,"внешняя политика,Государство Палестина",Владимир Путин встретится с Президентом Палестины Махмудом Аббасом
2015-04-09T00:05:00Z,49227,налоги,Встреча с главой Федеральной налоговой службы Михаилом Мишустиным
2015-04-10T00:01:00Z,49232,"",Совещание с постоянными членами Совета Безопасности
2015-04-10T00:02:00Z,49234,банки,"Встреча с президентом, председателем правления Сбербанка России Германом Грефом"
2015-04-10T00:03:00Z,49236,"внешняя политика,ШОС",Президент встретится с секретарями советов безопасности государств – членов и стран – наблюдателей Шанхайской организации сотрудничества
2015-04-12T00:01:00Z,49240,религия,Поздравление с православной Пасхой
2015-04-12T00:02:00Z,49241,религия,Поздравление Патриарху Московскому и всея Руси Кириллу с праздником Пасхи
2015-04-12T00:03:00Z,49242,религия,Поздравления митрополитам Русской православной церкви с праздником Пасхи
2015-04-13T00:01:00Z,49244,Республика Хакасия,Владимир Путин в оперативном режиме получает всю информацию о ситуации в Хакасии
2015-04-13T00:02:00Z,49246,профсоюзы,Встреча с главой ФНПР Михаилом Шмаковым
2015-04-13T00:03:00Z,49245,космос,Встреча с вице-премьером Дмитрием Рогозиным и главой Роскосмоса Игорем Комаровым
2015-04-13T00:04:00Z,49247,"внешняя политика,Государство Палестина",Встреча с Президентом Палестины Махмудом Аббасом
2015-04-13T00:05:00Z,49248,"внешняя политика,Иран",Внесено изменение в Указ о мерах по выполнению резолюции Совета Безопасности ООН №1929
2015-04-13T00:06:00Z,49249,ШОС,Встреча с секретарями советов безопасности ШОС
2015-04-14T00:01:00Z,49250,"здравоохранение,регионы",Рабочая встреча с Министром здравоохранения Вероникой Скворцовой
2015-04-14T00:02:00Z,49254,"",Доклад о результатах мониторинга правоприменения в России за 2013 год
2015-04-14T00:03:00Z,49256,"внешняя политика,Израиль",Телефонный разговор с Премьер-министром Израиля Биньямином Нетаньяху
2015-04-15T00:01:00Z,49257,"госслужба,противодействие коррупции","Опубликованы сведения об имуществе, доходах и расходах главы государства, работников Администрации Президента, а также членов их семей"
2015-04-16T00:01:00Z,49261,"",Прямая линия с Владимиром Путиным
2015-04-16T00:02:00Z,49264,"",Ответы на вопросы журналистов по итогам «Прямой линии»
2015-04-16T00:03:00Z,49265,"регионы,Кемеровская область – Кузбасс",Рабочая встреча с губернатором Кемеровской области Аманом Тулеевым
2015-04-17T00:01:00Z,49268,Вооружённые Силы,Посещение Национального центра управления обороной России
2015-04-17T00:02:00Z,49270,"Вооружённые Силы,импортозамещение,промышленность",Заседание Военно-промышленной комиссии
2015-04-17T00:03:00Z,49271,"внешняя политика,национальная безопасность,экономика и финансы",Совещание с постоянными членами Совета Безопасности
2015-04-20T00:01:00Z,49277,"внешняя политика,Армения",Владимир Путин посетит Ереван
2015-04-20T00:02:00Z,49289,государственные финансы,Внесены изменения в закон о федеральном бюджете на 2015 год и на плановый период 2016 и 2017 годов
2015-04-20T00:03:00Z,49283,"демография,дети,социальная сфера",Подписан закон о единовременной выплате за счёт средств материнского капитала
2015-04-20T00:04:00Z,49285,"государственные финансы,социальная сфера",Внесены изменения в закон о бюджете фонда социального страхования на 2015 год и на плановый период 2016 и 2017 годов
2015-04-20T00:05:00Z,49291,спорт,Встреча с президентом МОК Томасом Бахом
2015-04-20T00:06:00Z,49282,"государственные финансы,здравоохранение",Внесены изменения в закон о бюджете фонда обязательного медицинского страхования
2015-04-20T00:07:00Z,49287,"государственные финансы,пенсии",Внесены изменения в закон о бюджете Пенсионного фонда на 2015 год и на плановый период 2016 и 2017 годов
2015-04-20T00:08:00Z,49281,государственные финансы,"Подписан закон, устанавливающий порядок направления в Госдуму и Совет Федерации отчёта Правительства и информации Центрального банка о реализации плана мероприятий по обеспечению устойчивого развития экономики"
2015-04-20T00:09:00Z,49297,спорт,Встреча с президентом ФИФА Йозефом Блаттером
2015-04-20T00:10:00Z,49290,"спорт,Краснодарский край",Заседание генассамблеи Международной конвенции «СпортАккорд»
2015-04-20T00:11:00Z,49304,Саудовская Аравия,Телефонный разговор с Королём Саудовской Аравии Сальманом Бен Абдель Азизом Аль Саудом
2015-04-21T00:01:00Z,49308,"жильё,регионы,Республика Хакасия",Встреча с пострадавшими в результате природных пожаров на территории Сибирского федерального округа
